code,name,theme1,theme2,theme3,theme4,theme5,theme6,theme7,theme8,theme9,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24
003670,포스코케미칼,2차전지,2차전지(소재/부품),K-뉴딜지수(2차전지),북한 광물자원개발,K-뉴딜지수,,,,,,,,,,,,,,,,,,,
004490,세방전지,2차전지,전력저장장치(ESS),,,,,,,,,,,,,,,,,,,,,,
131100,스카이이앤엠,2차전지,2차전지(소재/부품),전기차,,,,,,,,,,,,,,,,,,,,,
089980,상아프론테크,2차전지,2차전지(소재/부품),황사/미세먼지,LCD장비,PCB(FPCB 등),전기차,전력저장장치(ESS),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,
161000,애경유화,2차전지,2차전지(소재/부품),석유화학,,,,,,,,,,,,,,,,,,,,,
005420,코스모화학,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,,,,
054090,삼진엘앤디,2차전지,2차전지(소재/부품),LCD 부품/소재,전력저장장치(ESS),LCD BLU제조,LED,,,,,,,,,,,,,,,,,,
196490,디에이테크놀로지,2차전지,자율주행차,2차전지(장비),,,,,,,,,,,,,,,,,,,,,
217820,엔에스,2차전지,2차전지(장비),,,,,,,,,,,,,,,,,,,,,,
222420,쎄노텍,2차전지,2차전지(소재/부품),희귀금속(희토류 등),북한 광물자원개발,,,,,,,,,,,,,,,,,,,,
222080,씨아이에스,2차전지,2차전지(장비),전기차,전력저장장치(ESS),,,,,,,,,,,,,,,,,,,,
033160,엠케이전자,2차전지,2차전지(소재/부품),반도체 재료/부품,,,,,,,,,,,,,,,,,,,,,
161580,필옵틱스,2차전지,플렉서블 디스플레이,PCB(FPCB 등),2차전지(장비),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
001390,KG케미칼,2차전지,2차전지(소재/부품),농업,비료,수자원(양적/질적 개선),,,,,,,,,,,,,,,,,,,
251630,브이원텍,2차전지,플렉서블 디스플레이,LCD장비,2차전지(장비),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
259630,엠플러스,2차전지,2차전지(장비),전기차,전력저장장치(ESS),,,,,,,,,,,,,,,,,,,,
243840,신흥에스이씨,2차전지,2차전지(소재/부품),전기차,,,,,,,,,,,,,,,,,,,,,
220260,켐트로스,2차전지,2차전지(소재/부품),온실가스(탄소배출권),日 수출 규제(국산화 등),,,,,,,,,,,,,,,,,,,,
265560,영화테크,2차전지,2차전지(소재/부품),수소차(연료전지/부품/충전소 등),자동차부품,전기차,,,,,,,,,,,,,,,,,,,
055490,테이팩스,2차전지,2차전지(소재/부품),스마트폰,폴더블폰,,,,,,,,,,,,,,,,,,,,
032560,황금에스티,2차전지,2차전지(소재/부품),비철금속,철도,,,,,,,,,,,,,,,,,,,,
076080,웰크론한텍,2차전지,2차전지(장비),수자원(양적/질적 개선),,,,,,,,,,,,,,,,,,,,,
263770,유에스티,2차전지,2차전지(소재/부품),강관업체(Steel pipe),전기차,,,,,,,,,,,,,,,,,,,,
005490,POSCO,2차전지,2차전지(소재/부품),희귀금속(희토류 등),철강 주요종목,풍력에너지,환율하락 수혜,LNG(액화천연가스),,,,,,,,,,,,,,,,,
078600,대주전자재료,2차전지,2차전지(소재/부품),태양광에너지,MLCC(적층세라믹콘덴서),,,,,,,,,,,,,,,,,,,,
110990,디아이티,2차전지,수소차(연료전지/부품/충전소 등),LCD장비,2차전지(장비),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
137940,넥스트아이,2차전지,화장품,LCD장비,2차전지(장비),정치/인맥(이준석),,,,,,,,,,,,,,,,,,,
290670,대보마그네틱,2차전지,2차전지(장비),,,,,,,,,,,,,,,,,,,,,,
302430,이노메트리,2차전지,2차전지(장비),,,,,,,,,,,,,,,,,,,,,,
278280,천보,2차전지,2차전지(소재/부품),반도체 재료/부품,K-뉴딜지수(2차전지),LCD 부품/소재,K-뉴딜지수,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,
247540,에코프로비엠,2차전지,2차전지(소재/부품),K-뉴딜지수(2차전지),K-뉴딜지수,,,,,,,,,,,,,,,,,,,,
011790,SKC,2차전지,2차전지(소재/부품),폴더블폰,플렉서블 디스플레이,K-뉴딜지수(2차전지),LCD 부품/소재,석유화학,전기차,태양광에너지,K-뉴딜지수,,,,,,,,,,,,,,
312610,에이에프더블류,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,,,,
